"label","ECSO_ID","ECSO_labels","Envthes_ID","Envthes_labels","ENVO_ID","ENVO_labels","PATO_ID","PATO_labels","PCO_ID","PCO_labels","BCO_ID","BCO_labels","CHEBI_ID","CHEBI_labels"
"aluminum ion concentration","http://purl.dataone.org/odo/ecso_00001762","aluminum ion concentration","","","","","","","","","","","",""
"aluminum ion concentration in ice","http://purl.dataone.org/odo/ecso_00001855","aluminum ion concentration in ice","","","","","","","","","","","",""
"aluminum ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001763","aluminum ion concentration in lake water","","","","","","","","","","","",""
"aluminum solubility in water","http://purl.dataone.org/odo/ecso_00001823","aluminum solubility in water","","","","","","","","","","","",""
"ammonium concentration","http://purl.dataone.org/odo/ecso_00001116","ammonium concentration","","","","","","","","","","","",""
"ammonium concentration in seawater","http://purl.dataone.org/odo/ecso_00001761","ammonium concentration in seawater","","","","","","","","","","","",""
"ammonium concentration in soil","http://purl.dataone.org/odo/ecso_00001759","ammonium concentration in soil","","","","","","","","","","","",""
"ammonium concentration in water","http://purl.dataone.org/odo/ecso_00001760","ammonium concentration in water","","","","","","","","","","","",""
"ammonium concentration using o phthaldialdehyde","http://purl.dataone.org/odo/ecso_00001758","ammonium concentration using o phthaldialdehyde","","","","","","","","","","","",""
"ammonium concentration using opa","http://purl.dataone.org/odo/ecso_00001758","ammonium concentration using opa","","","","","","","","","","","",""
"ammonium mineralization rate","http://purl.dataone.org/odo/ecso_00001856","ammonium mineralization rate","","","","","","","","","","","",""
"amount of nitrogen","http://purl.dataone.org/odo/ecso_00002209","amount of nitrogen","","","","","","","","","","","",""
"amount of substance fraction","http://purl.dataone.org/odo/ecso_00000612","amount of substance fraction","","","","","","","","","","","",""
"annual net primary production","http://purl.dataone.org/odo/ecso_00000037","annual net primary production","http://vocabs.lter-europe.net/envthes/21420","annual net primary production","","","","","","","","","",""
"annual net primary productivity","http://purl.dataone.org/odo/ecso_00000037","annual net primary productivity","","","","","","","","","","","",""
"annual net primary productivity flux","http://purl.dataone.org/odo/ecso_00000037","annual net primary productivity flux","","","","","","","","","","","",""
"annual npp","http://purl.dataone.org/odo/ecso_00000037","annual npp","","","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000037","anpp","http://vocabs.lter-europe.net/envthes/21420","anpp","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000037","anpp","http://vocabs.lter-europe.net/envthes/21161","anpp","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000037","anpp","http://vocabs.lter-europe.net/envthes/10043","anpp","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000533","anpp","http://vocabs.lter-europe.net/envthes/21420","anpp","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000533","anpp","http://vocabs.lter-europe.net/envthes/21161","anpp","","","","","","","","","",""
"anpp","http://purl.dataone.org/odo/ecso_00000533","anpp","http://vocabs.lter-europe.net/envthes/10043","anpp","","","","","","","","","",""
"antimony concentration","http://purl.dataone.org/odo/ecso_00001979","antimony concentration","","","","","","","","","","","",""
"antimony solubility in water","http://purl.dataone.org/odo/ecso_00001824","antimony solubility in water","","","","","","","","","","","",""
"apar","http://purl.dataone.org/odo/ecso_00001575","apar","http://vocabs.lter-europe.net/envthes/msa0003","apar","","","","","","","","","",""
"apparent quantum yield","http://purl.dataone.org/odo/ecso_00002191","apparent quantum yield","","","","","","","","","","","",""
"approximate freezing index","http://www.purl.dataone.org/odo/ecso_00010122","approximate freezing index","","","","","","","","","","","",""
"aquatic dissolved organic carbon","http://purl.dataone.org/odo/ecso_00000577","aquatic dissolved organic carbon","","","","","","","","","","","",""
"aquatic inorganic carbon concentration","http://purl.dataone.org/odo/ecso_00000539","aquatic inorganic carbon concentration","","","","","","","","","","","",""
"aquatic inorganic carbon concentration, all forms","http://purl.dataone.org/odo/ecso_00000539","aquatic inorganic carbon concentration, all forms","","","","","","","","","","","",""
"aquatic particulate organic carbon","http://purl.dataone.org/odo/ecso_00000578","aquatic particulate organic carbon","","","","","","","","","","","",""
"aquatic total organic carbon concentration","http://purl.dataone.org/odo/ecso_00001118","aquatic total organic carbon concentration","","","","","","","","","","","",""
"aquitard","http://www.purl.dataone.org/odo/ecso_00010104","aquitard","","","","","","","","","","","",""
"arctic lter block number","http://purl.dataone.org/odo/ecso_00002210","arctic lter block number","","","","","","","","","","","",""
"area of soil","http://purl.dataone.org/odo/ecso_00001723","area of soil","","","","","","","","","","","",""
"area percentage","http://purl.dataone.org/odo/ecso_00001195","area percentage","","","","","","","","","","","",""
"areal net primary productivity","http://purl.dataone.org/odo/ecso_00001969","areal net primary productivity","","","","","","","","","","","",""
"arrival time","http://purl.dataone.org/odo/ecso_00002055","arrival time","","","","","","","","","","","",""
"arsenic ion concentration","http://purl.dataone.org/odo/ecso_00001766","arsenic ion concentration","","","","","","","","","","","",""
"arsenic ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001767","arsenic ion concentration in lake water","","","","","","","","","","","",""
"arsenic solubility in water","http://purl.dataone.org/odo/ecso_00001825","arsenic solubility in water","","","","","","","","","","","",""
"ash free dry weight","http://purl.dataone.org/odo/ecso_00000550","ash free dry weight","","","","","","","","","","","",""
"ash free dry weight biomass","http://purl.dataone.org/odo/ecso_00001151","ash free dry weight biomass","","","","","","","","","","","",""
"ash weight","http://purl.dataone.org/odo/ecso_00000557","ash weight","","","","","","","","","","","",""
"ash weight biomass","http://purl.dataone.org/odo/ecso_00001108","ash weight biomass","","","","","","","","","","","",""
"aspect","http://purl.dataone.org/odo/ecso_00002212","aspect","","","","","","","","","","","",""
"atmospheric carbon dioxide pool","http://purl.dataone.org/odo/ecso_00000207","atmospheric carbon dioxide pool","","","","","","","","","","","",""
"atmospheric pressure","http://purl.dataone.org/odo/ecso_00001186","atmospheric pressure","http://vocabs.lter-europe.net/envthes/22060","atmospheric pressure","","","","","","","","","",""
"autotrophic respiration","http://purl.dataone.org/odo/ecso_00000017","autotrophic respiration","","","","","","","","","","","",""
"autotrophic respiration carbon flux","http://purl.dataone.org/odo/ecso_00000017","autotrophic respiration carbon flux","","","","","","","","","","","",""
"average apparent quantum yield","http://purl.dataone.org/odo/ecso_00002192","average apparent quantum yield","","","","","","","","","","","",""
"avian influenza sample identifier","http://purl.dataone.org/odo/ecso_00002214","avian influenza sample identifier","","","","","","","","","","","",""
"b glucosidase activity","http://purl.dataone.org/odo/ecso_00002216","b glucosidase activity","","","","","","","","","","","",""
"backscatter at 532 nm","http://purl.dataone.org/odo/ecso_00002194","backscatter at 532 nm","","","","","","","","","","","",""
"bacteria abundance","http://purl.dataone.org/odo/ecso_00001693","bacteria abundance","http://vocabs.lter-europe.net/envthes/22026","bacteria abundance","","","","","","","","","",""
"bacterial production rate","http://purl.dataone.org/odo/ecso_00002305","bacterial production rate","","","","","","","","","","","",""
"bare soil percent cover","http://purl.dataone.org/odo/ecso_00001648","bare soil percent cover","","","","","","","","","","","",""
"barium ion concentration","http://purl.dataone.org/odo/ecso_00001768","barium ion concentration","","","","","","","","","","","",""
"barium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001861","barium ion concentration in ice","","","","","","","","","","","",""
"barium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001769","barium ion concentration in lake water","","","","","","","","","","","",""
"barium ion concentration in river water","http://purl.dataone.org/odo/ecso_00001862","barium ion concentration in river water","","","","","","","","","","","",""
"barium uncertainty","http://purl.dataone.org/odo/ecso_00002217","barium uncertainty","","","","","","","","","","","",""
"barometric pressure","http://purl.dataone.org/odo/ecso_00001186","barometric pressure","http://vocabs.lter-europe.net/envthes/22060","barometric pressure","","","","","","","","","",""
"basal cryopeg","http://www.purl.dataone.org/odo/ecso_00010108","basal cryopeg","","","","","","","","","","","",""
"basal mineral substrate depth","http://purl.dataone.org/odo/ecso_00001864","basal mineral substrate depth","","","","","","","","","","","",""
"beam attenuation coefficient","http://purl.dataone.org/odo/ecso_00001732","beam attenuation coefficient","","","","","","","","","","","",""
"beam transmission percentage","http://purl.dataone.org/odo/ecso_00001731","beam transmission percentage","","","","","","","","","","","",""
"beam transmission percentage standard deviation","http://purl.dataone.org/odo/ecso_00001746","beam transmission percentage standard deviation","","","","","","","","","","","",""
"beam transmission ratio","http://purl.dataone.org/odo/ecso_00001744","beam transmission ratio","","","","","","","","","","","",""
"beam transmission ratio standard deviation","http://purl.dataone.org/odo/ecso_00001745","beam transmission ratio standard deviation","","","","","","","","","","","",""
"belowground standing biomass","http://purl.dataone.org/odo/ecso_00001111","belowground standing biomass","","","","","","","","","","","",""
"benthic algae carbon pool","http://purl.dataone.org/odo/ecso_00000031","benthic algae carbon pool","","","","","","","","","","","",""
"berry biomass","http://purl.dataone.org/odo/ecso_00001687","berry biomass","","","","","","","","","","","",""
"berry count","http://purl.dataone.org/odo/ecso_00001705","berry count","","","","","","","","","","","",""
"beta glucosidase activity","http://purl.dataone.org/odo/ecso_00002216","beta glucosidase activity","","","","","","","","","","","",""
"beta photosynthetic efficiency","http://purl.dataone.org/odo/ecso_00000661","beta photosynthetic efficiency","","","","","","","","","","","",""
"bicarbonate concentration","http://purl.dataone.org/odo/ecso_00000538","bicarbonate concentration","","","","","","","","","","","",""
"bicarbonate pool","http://purl.dataone.org/odo/ecso_00000202","bicarbonate pool","","","","","","","","","","","",""
"biomass concentration","http://purl.dataone.org/odo/ecso_00001202","biomass concentration","","","","","","","","","","","",""
"biomass density","http://purl.dataone.org/odo/ecso_00000551","biomass density","","","","","","","","","","","",""
"biomass density","http://purl.dataone.org/odo/ecso_00000552","biomass density","","","","","","","","","","","",""
"biomass method","http://purl.dataone.org/odo/ecso_00000555","biomass method","","","","","","","","","","","",""
"biomass volumetric density","http://purl.dataone.org/odo/ecso_00001200","biomass volumetric density","","","","","","","","","","","",""
"biomatter","http://purl.dataone.org/odo/ecso_00001114","biomatter","","","","","","","","","","","",""
"bird and container weight","http://purl.dataone.org/odo/ecso_00002174","bird and container weight","","","","","","","","","","","",""
"bird band identifier","http://purl.dataone.org/odo/ecso_00002218","bird band identifier","","","","","","","","","","","",""
"bird nest identifier","http://purl.dataone.org/odo/ecso_00002382","bird nest identifier","","","","","","","","","","","",""
"black carbon concentration","http://purl.dataone.org/odo/ecso_00000654","black carbon concentration","","","","","","","","","","","",""
"blowing snow accumulation rate","http://purl.dataone.org/odo/ecso_00002195","blowing snow accumulation rate","","","","","","","","","","","",""
"blowing snow erosion rate","http://purl.dataone.org/odo/ecso_00002197","blowing snow erosion rate","","","","","","","","","","","",""
"boron ion concentration","http://purl.dataone.org/odo/ecso_00001770","boron ion concentration","","","","","","","","","","","",""
"boron ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001771","boron ion concentration in lake water","","","","","","","","","","","",""
"bottle integrity","http://purl.dataone.org/odo/ecso_00002314","bottle integrity","","","","","","","","","","","",""
"bottle number","http://purl.dataone.org/odo/ecso_00002220","bottle number","","","","","","","","","","","",""
"branch extension length","http://purl.dataone.org/odo/ecso_00001867","branch extension length","","","","","","","","","","","",""
"braun blanquet cover abundance scale","http://purl.dataone.org/odo/ecso_00002379","braun blanquet cover abundance scale","","","","","","","","","","","",""
"bromine concentration","http://purl.dataone.org/odo/ecso_00001870","bromine concentration","","","","","","","","","","","",""
"bromine concentration in ice","http://purl.dataone.org/odo/ecso_00001871","bromine concentration in ice","","","","","","","","","","","",""
"bromine concentration in water","http://purl.dataone.org/odo/ecso_00001872","bromine concentration in water","","","","","","","","","","","",""
"bromine monoxide average mixing ratio","http://purl.dataone.org/odo/ecso_00002350","bromine monoxide average mixing ratio","","","","","","","","","","","",""
"bromine monoxide vertical column density","http://purl.dataone.org/odo/ecso_00002351","bromine monoxide vertical column density","","","","","","","","","","","",""
"bromine monoxide vertical column density ratio","http://purl.dataone.org/odo/ecso_00002352","bromine monoxide vertical column density ratio","","","","","","","","","","","",""
"built feature count aerial density","http://purl.dataone.org/odo/ecso_00001171","built feature count aerial density","","","","","","","","","","","",""
"buoy latitude","http://purl.dataone.org/odo/ecso_00002131","buoy latitude","","","","","","","","","","","",""
"buoy longitude","http://purl.dataone.org/odo/ecso_00002133","buoy longitude","","","","","","","","","","","",""
"c to n ratio","http://purl.dataone.org/odo/ecso_00001138","c to n ratio","","","","","","","","","","","",""
"cadmium concentration","http://purl.dataone.org/odo/ecso_00001875","cadmium concentration","","","","","","","","","","","",""
"cadmium concentration in ice","http://purl.dataone.org/odo/ecso_00001876","cadmium concentration in ice","","","","","","","","","","","",""
"cadmium solubility in water","http://purl.dataone.org/odo/ecso_00001826","cadmium solubility in water","","","","","","","","","","","",""
"calamagrostis deschampsioides percent cover","http://purl.dataone.org/odo/ecso_00001598","calamagrostis deschampsioides percent cover","","","","","","","","","","","",""
"calcium carbonate concentration","http://purl.dataone.org/odo/ecso_00003196","calcium carbonate concentration","","","","","","","","","","","",""
"calcium counts per second","http://purl.dataone.org/odo/ecso_00002183","calcium counts per second","","","","","","","","","","","",""
"calcium ion concentration","http://purl.dataone.org/odo/ecso_00001772","calcium ion concentration","","","","","","","","","","","",""
"calcium ion concentration in ice","http://purl.dataone.org/odo/ecso_00001877","calcium ion concentration in ice","","","","","","","","","","","",""
"calcium ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001773","calcium ion concentration in lake water","","","","","","","","","","","",""
"calcium ion concentration in river water","http://purl.dataone.org/odo/ecso_00001873","calcium ion concentration in river water","","","","","","","","","","","",""
"calcium ion concentration in river water standard deviation","http://purl.dataone.org/odo/ecso_00001874","calcium ion concentration in river water standard deviation","","","","","","","","","","","",""
"calcium ion concentration in soil","http://purl.dataone.org/odo/ecso_00001880","calcium ion concentration in soil","","","","","","","","","","","",""
"calcium ion concentration in water","http://purl.dataone.org/odo/ecso_00002031","calcium ion concentration in water","","","","","","","","","","","",""
"calcium percent soils total exchange capacity","http://purl.dataone.org/odo/ecso_00002306","calcium percent soils total exchange capacity","","","","","","","","","","","",""
"calcium retranslocation efficiency percentage","http://purl.dataone.org/odo/ecso_00002353","calcium retranslocation efficiency percentage","","","","","","","","","","","",""
"calcium solubility in water","http://purl.dataone.org/odo/ecso_00001827","calcium solubility in water","","","","","","","","","","","",""
"calibrated water salinity","http://purl.dataone.org/odo/ecso_00001655","calibrated water salinity","","","","","","","","","","","",""
"canopy diameter","http://purl.dataone.org/odo/ecso_00001215","canopy diameter","","","","","","","","","","","",""
"canopy height","http://purl.dataone.org/odo/ecso_00001220","canopy height","http://vocabs.lter-europe.net/envthes/af_c3_3155","canopy height","","","","","","","","","",""
"canopy height","http://purl.dataone.org/odo/ecso_00001220","canopy height","http://vocabs.lter-europe.net/envthes/22079","canopy height","","","","","","","","","",""
"canopy percentage","http://purl.dataone.org/odo/ecso_00001192","canopy percentage","","","","","","","","","","","",""
"capture location latitude","http://purl.dataone.org/odo/ecso_00002138","capture location latitude","","","","","","","","","","","",""
"capture location longitude","http://purl.dataone.org/odo/ecso_00002152","capture location longitude","","","","","","","","","","","",""
"capture time","http://purl.dataone.org/odo/ecso_00002057","capture time","","","","","","","","","","","",""
"carapace length","http://purl.dataone.org/odo/ecso_00001923","carapace length","","","","","","","","","","","",""
"carbon accumulation rate","http://purl.dataone.org/odo/ecso_00000664","carbon accumulation rate","","","","","","","","","","","",""
"carbon biomass","http://purl.dataone.org/odo/ecso_00001143","carbon biomass","","","","","","","","","","","",""
"carbon biomass density","http://purl.dataone.org/odo/ecso_00001180","carbon biomass density","","","","","","","","","","","",""
"carbon concentration","http://purl.dataone.org/odo/ecso_00002932","carbon concentration","","","","","","","","","","","",""
"carbon cycle component","http://purl.dataone.org/odo/ecso_00000010","carbon cycle component","","","","","","","","","","","",""
"carbon dioxide concentration","http://purl.dataone.org/odo/ecso_00000530","carbon dioxide concentration","http://vocabs.lter-europe.net/envthes/enveu_260","carbon dioxide concentration","","","","","","","","","",""
"carbon dioxide concentration","http://purl.dataone.org/odo/ecso_00000530","carbon dioxide concentration","http://vocabs.lter-europe.net/envthes/22082","carbon dioxide concentration","","","","","","","","","",""
"carbon dioxide concentration in soil","http://purl.dataone.org/odo/ecso_00000637","carbon dioxide concentration in soil","","","","","","","","","","","",""
"carbon dioxide diffusion flux","http://purl.dataone.org/odo/ecso_00000201","carbon dioxide diffusion flux","","","","","","","","","","","",""
"carbon dioxide flux","http://purl.dataone.org/odo/ecso_00000536","carbon dioxide flux","http://vocabs.lter-europe.net/envthes/enveu_310","carbon dioxide flux","","","","","","","","","",""
"carbon dioxide flux","http://purl.dataone.org/odo/ecso_00000536","carbon dioxide flux","http://vocabs.lter-europe.net/envthes/21177","carbon dioxide flux","","","","","","","","","",""
"carbon dioxide mass density","http://purl.dataone.org/odo/ecso_00000679","carbon dioxide mass density","","","","","","","","","","","",""
"carbon dioxide partial pressure","http://purl.dataone.org/odo/ecso_00000636","carbon dioxide partial pressure","","","","","","","","","","","",""
"carbon dioxide partial pressure  at sea surface","http://purl.dataone.org/odo/ecso_00000634","carbon dioxide partial pressure  at sea surface","","","","","","","","","","","",""
"carbon dioxide pool","http://purl.dataone.org/odo/ecso_00000203","carbon dioxide pool","","","","","","","","","","","",""
"carbon dioxide pressure","http://purl.dataone.org/odo/ecso_00001224","carbon dioxide pressure","","","","","","","","","","","",""
"carbon dioxide weight fraction","http://purl.dataone.org/odo/ecso_00000635","carbon dioxide weight fraction","","","","","","","","","","","",""
"carbon flux","http://purl.dataone.org/odo/ecso_00001105","carbon flux","http://vocabs.lter-europe.net/envthes/21179","carbon flux","","","","","","","","","",""
"carbon flux calculated from exponential fit","http://purl.dataone.org/odo/ecso_00001908","carbon flux calculated from exponential fit","","","","","","","","","","","",""
"carbon flux calculated from linear fit","http://purl.dataone.org/odo/ecso_00001909","carbon flux calculated from linear fit","","","","","","","","","","","",""
"carbon isotope ratio","http://purl.dataone.org/odo/ecso_00001514","carbon isotope ratio","","","","","","","","","","","",""
"carbon isotope ratio","http://purl.dataone.org/odo/ecso_00001142","carbon isotope ratio","","","","","","","","","","","",""
"carbon isotope ratio corrected for suess effect","http://purl.dataone.org/odo/ecso_00000674","carbon isotope ratio corrected for suess effect","","","","","","","","","","","",""
"carbon isotope ratio not corrected for suess effect","http://purl.dataone.org/odo/ecso_00000675","carbon isotope ratio not corrected for suess effect","","","","","","","","","","","",""
"carbon monoxide concentration","http://purl.dataone.org/odo/ecso_00000611","carbon monoxide concentration","","","","","","","","","","","",""
"carbon monoxide flux","http://purl.dataone.org/odo/ecso_00000614","carbon monoxide flux","","","","","","","","","","","",""
"carbon nitrogen ratio","http://purl.dataone.org/odo/ecso_00001138","carbon nitrogen ratio","","","","","","","","","","","",""
"carbon percentage","http://purl.dataone.org/odo/ecso_00001127","carbon percentage","","","","","","","","","","","",""
"carbon pool","http://purl.dataone.org/odo/ecso_00000025","carbon pool","","","","","","","","","","","",""
"carbon pool biomass density","http://purl.dataone.org/odo/ecso_00001180","carbon pool biomass density","","","","","","","","","","","",""
"carbon proportion","http://purl.dataone.org/odo/ecso_00000641","carbon proportion","","","","","","","","","","","",""
"carbon proportion in dry soil","http://purl.dataone.org/odo/ecso_00000645","carbon proportion in dry soil","","","","","","","","","","","",""
"carbon proportion in plant roots","http://purl.dataone.org/odo/ecso_00000644","carbon proportion in plant roots","","","","","","","","","","","",""
"carbon proportion of plant leaves","http://purl.dataone.org/odo/ecso_00000642","carbon proportion of plant leaves","","","","","","","","","","","",""
"carbon proportion of plant stems","http://purl.dataone.org/odo/ecso_00000643","carbon proportion of plant stems","","","","","","","","","","","",""
"carbon sequestration rate","http://purl.dataone.org/odo/ecso_00000664","carbon sequestration rate","","","","","","","","","","","",""
"carbon si ratio","http://purl.dataone.org/odo/ecso_00001142","carbon si ratio","","","","","","","","","","","",""
"carbon specific gross production rate","http://purl.dataone.org/odo/ecso_00001196","carbon specific gross production rate","","","","","","","","","","","",""
"carbon specific net production rate","http://purl.dataone.org/odo/ecso_00001128","carbon specific net production rate","","","","","","","","","","","",""
