"label","ECSO_ID","ECSO_labels","Envthes_ID","Envthes_labels","ENVO_ID","ENVO_labels","PATO_ID","PATO_labels","PCO_ID","PCO_labels","BCO_ID","BCO_labels","CHEBI_ID","CHEBI_labels"
"crown cover percentage","http://purl.dataone.org/odo/ecso_00001191","crown cover percentage","","","","","","","","","","","",""
"crown diameter","http://purl.dataone.org/odo/ecso_00001214","crown diameter","","","","","","","","","","","",""
"crown height","http://purl.dataone.org/odo/ecso_00001221","crown height","","","","","","","","","","","",""
"cruise identifier","http://purl.dataone.org/odo/ecso_00002370","cruise identifier","","","","","","","","","","","",""
"crustose lichen percent cover","http://purl.dataone.org/odo/ecso_00001605","crustose lichen percent cover","","","","","","","","","","","",""
"cryogenesis","http://www.purl.dataone.org/odo/ecso_00010102","cryogenesis","","","","","","","","","","","",""
"cryogenic aquiclude","http://www.purl.dataone.org/odo/ecso_00010105","cryogenic aquiclude","","","","","","","","","","","",""
"cryogenic temperature","http://www.purl.dataone.org/odo/ecso_00010106","cryogenic temperature","","","","","","","","","","","",""
"cryopeg","http://www.purl.dataone.org/odo/ecso_00010107","cryopeg","","","","","","","","","","","",""
"cryoturbation","http://www.purl.dataone.org/odo/ecso_00010078","cryoturbation","","","","","","","","","","","",""
"ctd transmissivity percentage","http://purl.dataone.org/odo/ecso_00001731","ctd transmissivity percentage","","","","","","","","","","","",""
"ctd transmissivity ratio","http://purl.dataone.org/odo/ecso_00001744","ctd transmissivity ratio","","","","","","","","","","","",""
"d13c","http://purl.dataone.org/odo/ecso_00000669","d13c","","","","","","","","","","","",""
"d14c","http://purl.dataone.org/odo/ecso_00000668","d14c","","","","","","","","","","","",""
"d15n","http://purl.dataone.org/odo/ecso_00001738","d15n","","","","","","","","","","","",""
"d15n standard deviation","http://purl.dataone.org/odo/ecso_00001741","d15n standard deviation","","","","","","","","","","","",""
"d18o","http://purl.dataone.org/odo/ecso_00001677","d18o","","","","","","","","","","","",""
"d18o in atmospheric oxygen","http://purl.dataone.org/odo/ecso_00001676","d18o in atmospheric oxygen","","","","","","","","","","","",""
"d18o in water","http://purl.dataone.org/odo/ecso_00001671","d18o in water","","","","","","","","","","","",""
"d18o in water vapor","http://purl.dataone.org/odo/ecso_00002200","d18o in water vapor","","","","","","","","","","","",""
"d18o standard deviation","http://purl.dataone.org/odo/ecso_00001673","d18o standard deviation","","","","","","","","","","","",""
"d18o standardized","http://purl.dataone.org/odo/ecso_00001672","d18o standardized","","","","","","","","","","","",""
"d18o standardized standard deviation","http://purl.dataone.org/odo/ecso_00001675","d18o standardized standard deviation","","","","","","","","","","","",""
"data logger panel temperature","http://purl.dataone.org/odo/ecso_00001532","data logger panel temperature","","","","","","","","","","","",""
"data quality flag","http://purl.dataone.org/odo/ecso_00001720","data quality flag","","","","","","","","","","","",""
"data record latitude","http://purl.dataone.org/odo/ecso_00002144","data record latitude","","","","","","","","","","","",""
"data record longitude","http://purl.dataone.org/odo/ecso_00002161","data record longitude","","","","","","","","","","","",""
"date","http://purl.dataone.org/odo/ecso_00002051","date","http://vocabs.lter-europe.net/envthes/f1fa124b-d86e-412a-bb66-27b5c4fd9b89","date","","","","","","","","","",""
"date and time of measurement","http://purl.dataone.org/odo/ecso_00002043","date and time of measurement","","","","","","","","","","","",""
"date nest age determined","http://purl.dataone.org/odo/ecso_00002116","date nest age determined","","","","","","","","","","","",""
"date nest last active","http://purl.dataone.org/odo/ecso_00002365","date nest last active","","","","","","","","","","","",""
"date nest or den found","http://purl.dataone.org/odo/ecso_00002111","date nest or den found","","","","","","","","","","","",""
"date of capture","http://purl.dataone.org/odo/ecso_00002107","date of capture","","","","","","","","","","","",""
"date of gas chromatography analysis","http://purl.dataone.org/odo/ecso_00002115","date of gas chromatography analysis","","","","","","","","","","","",""
"date of observation","http://purl.dataone.org/odo/ecso_00002124","date of observation","","","","","","","","","","","",""
"date of predator and lemming survey","http://purl.dataone.org/odo/ecso_00002109","date of predator and lemming survey","","","","","","","","","","","",""
"date snow cover on flat areas estimated at 50 percent","http://purl.dataone.org/odo/ecso_00002119","date snow cover on flat areas estimated at 50 percent","","","","","","","","","","","",""
"date trap checked","http://purl.dataone.org/odo/ecso_00002120","date trap checked","","","","","","","","","","","",""
"date trapping started","http://purl.dataone.org/odo/ecso_00002121","date trapping started","","","","","","","","","","","",""
"date treatment applied","http://purl.dataone.org/odo/ecso_00002112","date treatment applied","","","","","","","","","","","",""
"day of month","http://purl.dataone.org/odo/ecso_00002122","day of month","","","","","","","","","","","",""
"day of year","http://purl.dataone.org/odo/ecso_00002058","day of year","","","","","","","","","","","",""
"day of year all plants senesced","http://purl.dataone.org/odo/ecso_00002062","day of year all plants senesced","","","","","","","","","","","",""
"day of year bud burst","http://purl.dataone.org/odo/ecso_00002063","day of year bud burst","","","","","","","","","","","",""
"day of year hatch date estimate","http://purl.dataone.org/odo/ecso_00002105","day of year hatch date estimate","","","","","","","","","","","",""
"day of year maximum flowers observed","http://purl.dataone.org/odo/ecso_00002064","day of year maximum flowers observed","","","","","","","","","","","",""
"day of year measurement made","http://purl.dataone.org/odo/ecso_00002060","day of year measurement made","","","","","","","","","","","",""
"day of year nest last active","http://purl.dataone.org/odo/ecso_00002364","day of year nest last active","","","","","","","","","","","",""
"day of year sample collected","http://purl.dataone.org/odo/ecso_00002059","day of year sample collected","","","","","","","","","","","",""
"day of year senescence onset","http://purl.dataone.org/odo/ecso_00002065","day of year senescence onset","","","","","","","","","","","",""
"days elapsed","http://purl.dataone.org/odo/ecso_00002123","days elapsed","","","","","","","","","","","",""
"dbh","http://purl.dataone.org/odo/ecso_00000549","dbh","http://vocabs.lter-europe.net/envthes/22304","dbh","","","","","","","","","",""
"dbh","http://purl.dataone.org/odo/ecso_00000549","dbh","http://vocabs.lter-europe.net/envthes/msa0296","dbh","","","","","","","","","",""
"dbh","http://purl.dataone.org/odo/ecso_00000549","dbh","http://vocabs.lter-europe.net/envthes/10031","dbh","","","","","","","","","",""
"dead deciduous shrub percent cover","http://purl.dataone.org/odo/ecso_00001607","dead deciduous shrub percent cover","","","","","","","","","","","",""
"dead erect dwarf shrub percent cover","http://purl.dataone.org/odo/ecso_00001632","dead erect dwarf shrub percent cover","","","","","","","","","","","",""
"dead erect forb percent cover","http://purl.dataone.org/odo/ecso_00001610","dead erect forb percent cover","","","","","","","","","","","",""
"dead evergreen shrub percent cover","http://purl.dataone.org/odo/ecso_00001614","dead evergreen shrub percent cover","","","","","","","","","","","",""
"dead low shrub percent cover","http://purl.dataone.org/odo/ecso_00001618","dead low shrub percent cover","","","","","","","","","","","",""
"dead mat and cushion forb percent cover","http://purl.dataone.org/odo/ecso_00001620","dead mat and cushion forb percent cover","","","","","","","","","","","",""
"dead non tussock graminoid percent cover","http://purl.dataone.org/odo/ecso_00001622","dead non tussock graminoid percent cover","","","","","","","","","","","",""
"dead prostrate dwarf shrub percent cover","http://purl.dataone.org/odo/ecso_00001626","dead prostrate dwarf shrub percent cover","","","","","","","","","","","",""
"dead tussock graminoid percent cover","http://purl.dataone.org/odo/ecso_00001629","dead tussock graminoid percent cover","","","","","","","","","","","",""
"degrees east","http://purl.dataone.org/odo/ecso_00002249","degrees east","","","","","","","","","","","",""
"degrees north","http://purl.dataone.org/odo/ecso_00002237","degrees north","","","","","","","","","","","",""
"degrees south","http://purl.dataone.org/odo/ecso_00002248","degrees south","","","","","","","","","","","",""
"degrees west","http://purl.dataone.org/odo/ecso_00002239","degrees west","","","","","","","","","","","",""
"delta deuterium","http://purl.dataone.org/odo/ecso_00001957","delta deuterium","","","","","","","","","","","",""
"delta deuterium in water","http://purl.dataone.org/odo/ecso_00001958","delta deuterium in water","","","","","","","","","","","",""
"delta deuterium in water using dri continuous method","http://purl.dataone.org/odo/ecso_00001959","delta deuterium in water using dri continuous method","","","","","","","","","","","",""
"delta deuterium in water vapor","http://purl.dataone.org/odo/ecso_00002201","delta deuterium in water vapor","","","","","","","","","","","",""
"delta oxygen 18","http://purl.dataone.org/odo/ecso_00001677","delta oxygen 18","","","","","","","","","","","",""
"departure time","http://purl.dataone.org/odo/ecso_00002056","departure time","","","","","","","","","","","",""
"depth of dead moss layer","http://purl.dataone.org/odo/ecso_00001889","depth of dead moss layer","","","","","","","","","","","",""
"depth of live moss layer","http://purl.dataone.org/odo/ecso_00001890","depth of live moss layer","","","","","","","","","","","",""
"depth of surface dust","http://purl.dataone.org/odo/ecso_00001891","depth of surface dust","","","","","","","","","","","",""
"depth of thaw","http://www.purl.dataone.org/odo/ecso_00010114","depth of thaw","http://vocabs.lter-europe.net/envthes/22294","depth of thaw","","","","","","","","","",""
"depth of zero annual amplitude","http://www.purl.dataone.org/odo/ecso_00010115","depth of zero annual amplitude","","","","","","","","","","","",""
"deschampsia caespitosa percent cover","http://purl.dataone.org/odo/ecso_00001591","deschampsia caespitosa percent cover","","","","","","","","","","","",""
"design freezing index","http://www.purl.dataone.org/odo/ecso_00010125","design freezing index","","","","","","","","","","","",""
"detachment failure","http://www.purl.dataone.org/odo/ecso_00010116","detachment failure","","","","","","","","","","","",""
"dew point temperature","http://purl.dataone.org/odo/ecso_00001657","dew point temperature","","","","","","","","","","","",""
"diameter at breast height","http://purl.dataone.org/odo/ecso_00000549","diameter at breast height","","","","","","","","","","","",""
"dic concentration","http://purl.dataone.org/odo/ecso_00000632","dic concentration","","","","","","","","","","","",""
"diffuse radiation","http://purl.dataone.org/odo/ecso_00001961","diffuse radiation","http://vocabs.lter-europe.net/envthes/enveu_255","diffuse radiation","","","","","","","","","",""
"dissolution carbon flux","http://purl.dataone.org/odo/ecso_00000320","dissolution carbon flux","","","","","","","","","","","",""
"dissolved ammonia concentration","http://purl.dataone.org/odo/ecso_00001703","dissolved ammonia concentration","","","","","","","","","","","",""
"dissolved carbon dioxide concentration","http://purl.dataone.org/odo/ecso_00000631","dissolved carbon dioxide concentration","","","","","","","","","","","",""
"dissolved carbon dioxide pool","http://purl.dataone.org/odo/ecso_00000208","dissolved carbon dioxide pool","","","","","","","","","","","",""
"dissolved carbon dioxide saturation percentage","http://purl.dataone.org/odo/ecso_00002385","dissolved carbon dioxide saturation percentage","","","","","","","","","","","",""
"dissolved carbon to dissolved nitrogen ratio","http://purl.dataone.org/odo/ecso_00000655","dissolved carbon to dissolved nitrogen ratio","","","","","","","","","","","",""
"dissolved inorganic carbon concentration","http://purl.dataone.org/odo/ecso_00000632","dissolved inorganic carbon concentration","","","","","","","","","","","",""
"dissolved inorganic carbon concentration of stable carbon","http://purl.dataone.org/odo/ecso_00001518","dissolved inorganic carbon concentration of stable carbon","","","","","","","","","","","",""
"dissolved inorganic concentration of radioactive carbon","http://purl.dataone.org/odo/ecso_00001517","dissolved inorganic concentration of radioactive carbon","","","","","","","","","","","",""
"dissolved inorganic nitrogen concentation","http://purl.dataone.org/odo/ecso_00001892","dissolved inorganic nitrogen concentation","","","","","","","","","","","",""
"dissolved inorganic nitrogen concentration extracted from soil","http://purl.dataone.org/odo/ecso_00002029","dissolved inorganic nitrogen concentration extracted from soil","","","","","","","","","","","",""
"dissolved inorganic nitrogen mineralization rate","http://purl.dataone.org/odo/ecso_00001893","dissolved inorganic nitrogen mineralization rate","","","","","","","","","","","",""
"dissolved methane concentration","http://purl.dataone.org/odo/ecso_00000616","dissolved methane concentration","","","","","","","","","","","",""
"dissolved nitrite and nitrate concentration","http://purl.dataone.org/odo/ecso_00001895","dissolved nitrite and nitrate concentration","","","","","","","","","","","",""
"dissolved nitrogen concentration","http://purl.dataone.org/odo/ecso_00002018","dissolved nitrogen concentration","","","","","","","","","","","",""
"dissolved nitrous oxide concentration","http://purl.dataone.org/odo/ecso_00001896","dissolved nitrous oxide concentration","","","","","","","","","","","",""
"dissolved nitrous oxide saturation percentage","http://purl.dataone.org/odo/ecso_00002384","dissolved nitrous oxide saturation percentage","","","","","","","","","","","",""
"dissolved organic carbon","http://purl.dataone.org/odo/ecso_00000571","dissolved organic carbon","http://vocabs.lter-europe.net/envthes/20811","dissolved organic carbon","","","","","","","","","",""
"dissolved organic carbon change with excess nitrogen phosphorus","http://purl.dataone.org/odo/ecso_00002280","dissolved organic carbon change with excess nitrogen phosphorus","","","","","","","","","","","",""
"dissolved organic carbon concentration","http://purl.dataone.org/odo/ecso_00001125","dissolved organic carbon concentration","","","","","","","","","","","",""
"dissolved organic carbon concentration of radioactive carbon","http://purl.dataone.org/odo/ecso_00001520","dissolved organic carbon concentration of radioactive carbon","","","","","","","","","","","",""
"dissolved organic carbon concentration of stable carbon","http://purl.dataone.org/odo/ecso_00001519","dissolved organic carbon concentration of stable carbon","","","","","","","","","","","",""
"dissolved organic carbon flux","http://purl.dataone.org/odo/ecso_00000012","dissolved organic carbon flux","","","","","","","","","","","",""
"dissolved organic carbon initial measurement","http://purl.dataone.org/odo/ecso_00002275","dissolved organic carbon initial measurement","","","","","","","","","","","",""
"dissolved organic carbon lost","http://purl.dataone.org/odo/ecso_00002281","dissolved organic carbon lost","","","","","","","","","","","",""
"dissolved organic carbon mineralization rate","http://purl.dataone.org/odo/ecso_00001515","dissolved organic carbon mineralization rate","","","","","","","","","","","",""
"dissolved organic carbon percent difference after 28 days","http://purl.dataone.org/odo/ecso_00002285","dissolved organic carbon percent difference after 28 days","","","","","","","","","","","",""
"dissolved organic carbon pool","http://purl.dataone.org/odo/ecso_00000035","dissolved organic carbon pool","","","","","","","","","","","",""
"dissolved organic carbon proportion in soil","http://purl.dataone.org/odo/ecso_00002274","dissolved organic carbon proportion in soil","","","","","","","","","","","",""
"dissolved organic carbon proportion left","http://purl.dataone.org/odo/ecso_00002284","dissolved organic carbon proportion left","","","","","","","","","","","",""
"dissolved organic carbon proportion lost","http://purl.dataone.org/odo/ecso_00002282","dissolved organic carbon proportion lost","","","","","","","","","","","",""
"dissolved organic carbon proportion lost with excess nitrogen phosphorus","http://purl.dataone.org/odo/ecso_00002283","dissolved organic carbon proportion lost with excess nitrogen phosphorus","","","","","","","","","","","",""
"dissolved organic carbon to dissolved inorganic nitrogen ratio","http://purl.dataone.org/odo/ecso_00002273","dissolved organic carbon to dissolved inorganic nitrogen ratio","","","","","","","","","","","",""
"dissolved organic material","http://purl.dataone.org/odo/ecso_00000658","dissolved organic material","","","","","","","","","","","",""
"dissolved organic matter","http://purl.dataone.org/odo/ecso_00000658","dissolved organic matter","http://vocabs.lter-europe.net/envthes/10103","dissolved organic matter","","","","","","","","","",""
"dissolved organic nitrogen concentration","http://purl.dataone.org/odo/ecso_00001882","dissolved organic nitrogen concentration","","","","","","","","","","","",""
"dissolved organic nitrogen mineralization rate","http://purl.dataone.org/odo/ecso_00001894","dissolved organic nitrogen mineralization rate","","","","","","","","","","","",""
"dissolved oxygen concentration","http://purl.dataone.org/odo/ecso_00001669","dissolved oxygen concentration","","","","","","","","","","","",""
"dissolved oxygen concentration","http://purl.dataone.org/odo/ecso_00001246","dissolved oxygen concentration","","","","","","","","","","","",""
"dissolved oxygen concentration standard deviation","http://purl.dataone.org/odo/ecso_00001674","dissolved oxygen concentration standard deviation","","","","","","","","","","","",""
"dissolved oxygen saturation","http://purl.dataone.org/odo/ecso_00002386","dissolved oxygen saturation","","","","","","","","","","","",""
"dissolved oxygen saturation percentage","http://purl.dataone.org/odo/ecso_00002383","dissolved oxygen saturation percentage","","","","","","","","","","","",""
"dissolved phosphate concentration in seawater","http://purl.dataone.org/odo/ecso_00001897","dissolved phosphate concentration in seawater","","","","","","","","","","","",""
"dissolved silica concentration in seawater","http://purl.dataone.org/odo/ecso_00001898","dissolved silica concentration in seawater","","","","","","","","","","","",""
"doc change with excess nitrogen phosphorus","http://purl.dataone.org/odo/ecso_00002280","doc change with excess nitrogen phosphorus","","","","","","","","","","","",""
"doc concentration","http://purl.dataone.org/odo/ecso_00001125","doc concentration","","","","","","","","","","","",""
"doc initial measurement","http://purl.dataone.org/odo/ecso_00002275","doc initial measurement","","","","","","","","","","","",""
"doc lost","http://purl.dataone.org/odo/ecso_00002281","doc lost","","","","","","","","","","","",""
"doc proportion in soil","http://purl.dataone.org/odo/ecso_00002274","doc proportion in soil","","","","","","","","","","","",""
"doc proportion lost","http://purl.dataone.org/odo/ecso_00002282","doc proportion lost","","","","","","","","","","","",""
"dom","http://purl.dataone.org/odo/ecso_00000571","dom","","","","","","","","","","","",""
"dom","http://purl.dataone.org/odo/ecso_00000658","dom","","","","","","","","","","","",""
"downward longwave radiation","http://purl.dataone.org/odo/ecso_00001899","downward longwave radiation","","","","","","","","","","","",""
"downward shortwave radiation","http://purl.dataone.org/odo/ecso_00001860","downward shortwave radiation","","","","","","","","","","","",""
"downward solar radiation","http://purl.dataone.org/odo/ecso_00001900","downward solar radiation","","","","","","","","","","","",""
"downwelling longwave radiation","http://purl.dataone.org/odo/ecso_00001899","downwelling longwave radiation","","","","","","","","","","","",""
"downwelling shortwave radiation","http://purl.dataone.org/odo/ecso_00001860","downwelling shortwave radiation","","","","","","","","","","","",""
"downwelling solar radiation","http://purl.dataone.org/odo/ecso_00001900","downwelling solar radiation","","","","","","","","","","","",""
"dried envelope mass","http://purl.dataone.org/odo/ecso_00002186","dried envelope mass","","","","","","","","","","","",""
"dry bulb temperature","http://purl.dataone.org/odo/ecso_00001521","dry bulb temperature","","","","","","","","","","","",""
"dry mass density","http://purl.dataone.org/odo/ecso_00001184","dry mass density","","","","","","","","","","","",""
"dry weight","http://purl.dataone.org/odo/ecso_00000556","dry weight","http://vocabs.lter-europe.net/envthes/msa0337","dry weight","","","","","","","","","",""
"dry weight","http://purl.dataone.org/odo/ecso_00001153","dry weight","http://vocabs.lter-europe.net/envthes/msa0337","dry weight","","","","","","","","","",""
"dry weight biomass","http://purl.dataone.org/odo/ecso_00001153","dry weight biomass","","","","","","","","","","","",""
"dust layer thickness","http://purl.dataone.org/odo/ecso_00002228","dust layer thickness","","","","","","","","","","","",""
"dwarf shrub height","http://purl.dataone.org/odo/ecso_00001579","dwarf shrub height","","","","","","","","","","","",""
"dysprosium concentration","http://purl.dataone.org/odo/ecso_00001988","dysprosium concentration","","","","","","","","","","","",""
"dysprosium solubility in water","http://purl.dataone.org/odo/ecso_00001831","dysprosium solubility in water","","","","","","","","","","","",""
"ease grid latitude","http://purl.dataone.org/odo/ecso_00002147","ease grid latitude","","","","","","","","","","","",""
"ease grid longitude","http://purl.dataone.org/odo/ecso_00002159","ease grid longitude","","","","","","","","","","","",""
"ecological system","http://purl.dataone.org/odo/ecso_00000309","ecological system","","","","","","","","","","","",""
"eddy covariance method","http://purl.dataone.org/odo/ecso_00000091","eddy covariance method","","","","","","","","","","","",""
"egg count","http://purl.dataone.org/odo/ecso_00001692","egg count","","","","","","","","","","","",""
"egg hatch date estimate","http://purl.dataone.org/odo/ecso_00002106","egg hatch date estimate","","","","","","","","","","","",""
"egg length","http://purl.dataone.org/odo/ecso_00001922","egg length","","","","","","","","","","","",""
"egg width","http://purl.dataone.org/odo/ecso_00001709","egg width","","","","","","","","","","","",""
"elapsed time","http://purl.dataone.org/odo/ecso_00002068","elapsed time","","","","","","","","","","","",""
"elapsed time after treatment","http://purl.dataone.org/odo/ecso_00002049","elapsed time after treatment","","","","","","","","","","","",""
"elapsed time since glaciation","http://purl.dataone.org/odo/ecso_00002077","elapsed time since glaciation","","","","","","","","","","","",""
"elevation angle","http://purl.dataone.org/odo/ecso_00002315","elevation angle","","","","","","","","","","","",""
"empetrum nigrum percent cover","http://purl.dataone.org/odo/ecso_00001638","empetrum nigrum percent cover","","","","","","","","","","","",""
"end date aquatic food traps removed","http://purl.dataone.org/odo/ecso_00002093","end date aquatic food traps removed","","","","","","","","","","","",""
"end date of bird banding","http://purl.dataone.org/odo/ecso_00002085","end date of bird banding","","","","","","","","","","","",""
"end date of field season","http://purl.dataone.org/odo/ecso_00002087","end date of field season","","","","","","","","","","","",""
"end date of lemming survey","http://purl.dataone.org/odo/ecso_00002088","end date of lemming survey","","","","","","","","","","","",""
"end date of nest survival","http://purl.dataone.org/odo/ecso_00002089","end date of nest survival","","","","","","","","","","","",""
"end date of precipitation sampling","http://purl.dataone.org/odo/ecso_00002086","end date of precipitation sampling","","","","","","","","","","","",""
"end date of predator survey","http://purl.dataone.org/odo/ecso_00002090","end date of predator survey","","","","","","","","","","","",""
"end date of sampling","http://purl.dataone.org/odo/ecso_00002091","end date of sampling","","","","","","","","","","","",""
"end date of snow survey","http://purl.dataone.org/odo/ecso_00002092","end date of snow survey","","","","","","","","","","","",""
"end date of trap prebait","http://purl.dataone.org/odo/ecso_00002118","end date of trap prebait","","","","","","","","","","","",""
"end date terrestrial food traps removed","http://purl.dataone.org/odo/ecso_00002094","end date terrestrial food traps removed","","","","","","","","","","","",""
"end date weather station stopped collecting data","http://purl.dataone.org/odo/ecso_00002095","end date weather station stopped collecting data","","","","","","","","","","","",""
"ending latitude","http://purl.dataone.org/odo/ecso_00002135","ending latitude","","","","","","","","","","","",""
"ending longitude","http://purl.dataone.org/odo/ecso_00002134","ending longitude","","","","","","","","","","","",""
"ending longitude","http://purl.dataone.org/odo/ecso_00002150","ending longitude","","","","","","","","","","","",""
"energy flux","http://purl.dataone.org/odo/ecso_00001106","energy flux","http://vocabs.lter-europe.net/envthes/21180","energy flux","","","","","","","","","",""
"energy flux","http://purl.dataone.org/odo/ecso_00001106","energy flux","http://vocabs.lter-europe.net/envthes/msa0376","energy flux","","","","","","","","","",""
"entity count","http://purl.dataone.org/odo/ecso_00001189","entity count","","","","","","","","","","","",""
"enzyme activity","http://purl.dataone.org/odo/ecso_00002215","enzyme activity","http://vocabs.lter-europe.net/envthes/af_c_1406134647980","enzyme activity","","","","","","","","","",""
"enzyme activity","http://purl.dataone.org/odo/ecso_00002215","enzyme activity","http://vocabs.lter-europe.net/envthes/20023","enzyme activity","","","","","","","","","",""
"equilbrator seawater temperature","http://purl.dataone.org/odo/ecso_00001531","equilbrator seawater temperature","","","","","","","","","","","",""
"equilibrator pressure","http://purl.dataone.org/odo/ecso_00001584","equilibrator pressure","","","","","","","","","","","",""
"estimated cell count","http://purl.dataone.org/odo/ecso_00002378","estimated cell count","","","","","","","","","","","",""
"estimated date first egg laid","http://purl.dataone.org/odo/ecso_00002127","estimated date first egg laid","","","","","","","","","","","",""
"estimated date of egg incubation","http://purl.dataone.org/odo/ecso_00002126","estimated date of egg incubation","","","","","","","","","","","",""
"estimated date of ice break","http://purl.dataone.org/odo/ecso_00002125","estimated date of ice break","","","","","","","","","","","",""
"estimated snow duration","http://purl.dataone.org/odo/ecso_00002128","estimated snow duration","","","","","","","","","","","",""
"estimated volumetric water content in soil","http://purl.dataone.org/odo/ecso_00001905","estimated volumetric water content in soil","","","","","","","","","","","",""
"estimated year of measurement","http://purl.dataone.org/odo/ecso_00002129","estimated year of measurement","","","","","","","","","","","",""
"estuary depth","http://purl.dataone.org/odo/ecso_00001557","estuary depth","","","","","","","","","","","",""
"estuary water temperature","http://purl.dataone.org/odo/ecso_00001559","estuary water temperature","","","","","","","","","","","",""
"europium concentration","http://purl.dataone.org/odo/ecso_00001990","europium concentration","","","","","","","","","","","",""
"europium solubility in water","http://purl.dataone.org/odo/ecso_00001832","europium solubility in water","","","","","","","","","","","",""
"experiment","http://purl.dataone.org/odo/ecso_00000505","experiment","http://vocabs.lter-europe.net/envthes/10251","experiment","","","","","","","","","",""
"fapar","http://purl.dataone.org/odo/ecso_00001576","fapar","http://vocabs.lter-europe.net/envthes/22330","fapar","","","","","","","","","",""
"festuca rubra percent cover","http://purl.dataone.org/odo/ecso_00001592","festuca rubra percent cover","","","","","","","","","","","",""
"fiat object","http://purl.obolibrary.org/obo/bfo_0000024","fiat object","","","","","","","","","","","",""
"fiat object part","http://purl.obolibrary.org/obo/bfo_0000024","fiat object part","","","","","","","","","","","",""
"field method","http://purl.dataone.org/odo/ecso_00000082","field method","http://vocabs.lter-europe.net/envthes/20319","field method","","","","","","","","","",""
"fire carbon flux","http://purl.dataone.org/odo/ecso_00000013","fire carbon flux","","","","","","","","","","","",""
"fire emissions","http://purl.dataone.org/odo/ecso_00000013","fire emissions","","","","","","","","","","","",""
"firn depth","http://purl.dataone.org/odo/ecso_00001551","firn depth","","","","","","","","","","","",""
"fixed carbon pool","http://purl.dataone.org/odo/ecso_00000206","fixed carbon pool","","","","","","","","","","","",""
"flerovium concentration","http://purl.dataone.org/odo/ecso_00001906","flerovium concentration","","","","","","","","","","","",""
"flerovium concentration in water","http://purl.dataone.org/odo/ecso_00001907","flerovium concentration in water","","","","","","","","","","","",""
"flower biomass","http://purl.dataone.org/odo/ecso_00001686","flower biomass","","","","","","","","","","","",""
"flower count","http://purl.dataone.org/odo/ecso_00001706","flower count","","","","","","","","","","","",""
"foliose lichen percent cover","http://purl.dataone.org/odo/ecso_00001616","foliose lichen percent cover","","","","","","","","","","","",""
"forb percent cover","http://purl.dataone.org/odo/ecso_00001611","forb percent cover","","","","","","","","","","","",""
"fraction modern","http://purl.dataone.org/odo/ecso_00001962","fraction modern","","","","","","","","","","","",""
"fraction of absorbed par","http://purl.dataone.org/odo/ecso_00001576","fraction of absorbed par","","","","","","","","","","","",""
"fractional day of year","http://purl.dataone.org/odo/ecso_00002061","fractional day of year","","","","","","","","","","","",""
"freezeback","http://www.purl.dataone.org/odo/ecso_00010120","freezeback","","","","","","","","","","","",""
"freezing index","http://www.purl.dataone.org/odo/ecso_00010121","freezing index","","","","","","","","","","","",""
"freezing point depression","http://www.purl.dataone.org/odo/ecso_00010126","freezing point depression","","","","","","","","","","","",""
"freezing pressure","http://www.purl.dataone.org/odo/ecso_00010127","freezing pressure","","","","","","","","","","","",""
"fresh weight","http://purl.dataone.org/odo/ecso_00001139","fresh weight","http://vocabs.lter-europe.net/envthes/msa0474","fresh weight","","","","","","","","","",""
"freshwater bicarbonate concentration","http://purl.dataone.org/odo/ecso_00000567","freshwater bicarbonate concentration","","","","","","","","","","","",""
"freshwater carbon dioxide concentration","http://purl.dataone.org/odo/ecso_00000522","freshwater carbon dioxide concentration","","","","","","","","","","","",""
"freshwater carbonate concentration","http://purl.dataone.org/odo/ecso_00000566","freshwater carbonate concentration","","","","","","","","","","","",""
"freshwater chlorophyll fluorescence","http://purl.dataone.org/odo/ecso_00000537","freshwater chlorophyll fluorescence","","","","","","","","","","","",""
"freshwater co2 concentration","http://purl.dataone.org/odo/ecso_00000522","freshwater co2 concentration","","","","","","","","","","","",""
"freshwater co3 concentration","http://purl.dataone.org/odo/ecso_00000566","freshwater co3 concentration","","","","","","","","","","","",""
"freshwater conductivity","http://purl.dataone.org/odo/ecso_00001536","freshwater conductivity","","","","","","","","","","","",""
"freshwater temperature","http://purl.dataone.org/odo/ecso_00001525","freshwater temperature","","","","","","","","","","","",""
"freshwater total inorganic carbon concentration","http://purl.dataone.org/odo/ecso_00001122","freshwater total inorganic carbon concentration","","","","","","","","","","","",""
"friction velocity","http://purl.dataone.org/odo/ecso_00001546","friction velocity","","","","","","","","","","","",""
"frost action","http://www.purl.dataone.org/odo/ecso_00010129","frost action","","","","","","","","","","","",""
"frost blister","http://www.purl.dataone.org/odo/ecso_00010131","frost blister","","","","","","","","","","","",""
"frost boil","http://www.purl.dataone.org/odo/ecso_00010133","frost boil","","","","","","","","","","","",""
"frost bulb","http://www.purl.dataone.org/odo/ecso_00010132","frost bulb","","","","","","","","","","","",""
"frost heave","http://www.purl.dataone.org/odo/ecso_00010134","frost heave","","","","","","","","","","","",""
"frost jacking","http://www.purl.dataone.org/odo/ecso_00010135","frost jacking","","","","","","","","","","","",""
"frost mound","http://www.purl.dataone.org/odo/ecso_00010136","frost mound","","","","","","","","","","","",""
"frozen soil layer thickness","http://purl.dataone.org/odo/ecso_00002230","frozen soil layer thickness","","","","","","","","","","","",""
